ID	title	language	publisher	region	release_date	serial	version
ULES-01136	FIFA 09	French	N/A	PAL	N/A	ULES-01136	N/A
ULES-01137	FIFA '09	German	N/A	PAL	N/A	ULES-01137	N/A
ULES-01138	FIFA 09	Italian	N/A	PAL	N/A	ULES-01138	N/A
ULES-01139	FIFA 09	Spanish	N/A	PAL	N/A	ULES-01139	N/A
ULES-01140	FIFA 09	Russian	N/A	PAL	N/A	ULES-01140	N/A
ULES-01141	FIFA 09	Dutch	N/A	PAL	N/A	ULES-01141	N/A
ULES-01142	FIFA 09	Czech / Hungarian / Polish	N/A	PAL	N/A	ULES-01142	N/A
ULES-01143	FIFA 09	Portuguese	N/A	PAL	N/A	ULES-01143	N/A
ULES-01144	Midnight Club: L.A. Remix	English / French / German / Italian / Spanish	N/A	PAL	N/A	ULES-01144	N/A
ULES-01145	Need for Speed: Undercover	Czech / Dutch / English / French / German / Hungarian / Italian / Polish / Russian / Spanish	N/A	PAL	N/A	ULES-01145	N/A
ULES-011455073560	Need for Speed: Undercover / Need for Speed™ Undercover	N/A	ELECTRONIC ARTS	PAL	2008-09-17	ULES-011455073560	1.00
ULES-01147	NBA Live 09	English / German / Italian	N/A	PAL	N/A	ULES-01147	N/A
ULES-01148	NBA Live 09	French	ELECTRONIC ARTS	PAL	2008-08-13	ULES-01148	1.00
ULES-01149	NBA Live 09	Spanish	Electronic Arts	PAL	2008-08-13	ULES-01149	1.00
ULES-01151	LEGO Batman: The Videogame	Danish / English / French / German / Italian / Spanish	Warner Borthers Games	PAL	2008-08-29	ULES-01151	1.00
ULES-01152	Football Manager Handheld 2009	English / French / Italian / Spanish	N/A	PAL	N/A	ULES-01152	N/A
ULES-011528442016	Football Manager Handheld 2009 / Football Manager Handheld 2009	N/A	N/A	PAL	N/A	ULES-011528442016	N/A
ULES-01154	Star Ocean: First Departure	English	N/A	PAL	N/A	ULES-01154	N/A
ULES-01161	Imagine: Champion Rider	Danish / Dutch / English / French / German / Italian / Norwegian / Spanish / Swedish	N/A	PAL	N/A	ULES-01161	N/A
ULES-01164	King of Pool	English / French / German / Italian / Spanish	N/A	PAL	N/A	ULES-01164	N/A
ULES-01165	WWE SmackDown vs. Raw 2009	English	N/A	PAL	N/A	ULES-01165	N/A
ULES-01166	WWE SmackDown vs. Raw 2009	English / French / German / Italian / Spanish	N/A	PAL	N/A	ULES-01166	N/A
ULES-01168	Tube Mania	Dutch / French	N/A	PAL	N/A	ULES-01168	N/A
ULES-01169	Monster Jam: Urban Assault	English / French / German / Italian / Spanish	N/A	PAL	N/A	ULES-01169	N/A
ULES-01170	Crash: Mind over Mutant	English	Vivendi Games	PAL	2008-09-07	ULES-01170	1.00
ULES-01171	Crash: Mind over Mutant	German / Russian	N/A	PAL	N/A	ULES-01171	N/A
ULES-01172	Crash: Mind Over Mutant	Italian / Spanish	N/A	PAL	N/A	ULES-01172	N/A
ULES-01173	Crash: Génération Mutant	Dutch / French	N/A	PAL	N/A	ULES-01173	N/A
ULES-01174	Spider-Man: Web of Shadows: Amazing Allies Edition	English / French / German / Italian / Spanish	N/A	PAL	N/A	ULES-01174	N/A
ULES-01175	Puzzler Collection	Dutch / French / German / Italian / Spanish	N/A	PAL	N/A	ULES-01175	N/A
ULES-01176	PES 2009: Pro Evolution Soccer	English / French / German / Italian / Portuguese / Spanish	Konami	PAL	2008-08-07	ULES-01176	1.00
ULES-01179	Military History: Commander: Europe at War	English / French / German / Italian / Spanish	Slitherine Software Ltd.	PAL	2009-10-28	ULES-01179	2.00
ULES-01180	Harry Potter and the Half-Blood Prince	English / French / German / Italian / Spanish	N/A	PAL	N/A	ULES-01180	N/A
ULES-01183	Yu-Gi-Oh! GX: Tag Force 3	English / French / German / Italian / Spanish	N/A	PAL	N/A	ULES-01183	N/A
ULES-01185	Shaun White Snowboarding	English / French / German / Italian / Spanish	N/A	PAL	N/A	ULES-01185	N/A
ULES-01187	Star Ocean: Second Evolution	English	N/A	PAL	N/A	ULES-01187	N/A
ULES-011871824768	STAR OCEAN: SECOND EVOLUTION	N/A	N/A	PAL	N/A	ULES-011871824768	N/A
ULES-01189	Ben 10: Alien Force	English / French / German / Italian / Spanish	N/A	PAL	N/A	ULES-01189	N/A
ULES-01191	The King of Fighters Collection: The Orochi Saga	English	N/A	PAL	N/A	ULES-01191	N/A
ULES-01211	Samurai Shodown Anthology	English	N/A	PAL	N/A	ULES-01211	N/A
ULES-01213	Monster Hunter Freedom Unite	English / French / German / Italian / Spanish	N/A	PAL	N/A	ULES-01213	N/A
