ID	title	edition	language	redump_status	region	system	version
832-0026-50	Dreamon Collection 3	Bundled with Premiere Press Kit	English / French / German / Spanish	Dumped from original media	Europe	DC	1.000
832-0027-50	Dreamon Volume 10	N/A	English / French / German / Spanish	Dumped from original media	Germany	DC	1.000
832-0028-50	Dreamon Volume 10	N/A	English / French / German / Spanish	Dumped from original media	Europe	DC	1.000
832-0031-09	Dreamon Volume 10	N/A	N/A	2 and more dumps from original media [!]	France	DC	1.000
832-0032-50	Dreamon Volume 11	N/A	English / French / German / Spanish	2 and more dumps from original media [!]	Europe	DC	1.000
832-0035-50	Dreamon Volume 12	N/A	English / French / German / Spanish	Dumped from original media	Europe	DC	0.900
832-0038-50	Dreamon Volume 13	N/A	English / French / German / Spanish	2 and more dumps from original media [!]	Europe	DC	1.000
832-0040-50	Dreamon Collection 4	Bundled with DC	English / French / German / Spanish	2 and more dumps from original media [!]	Europe	DC	1.000
832-0043-50	Dreamon Volume 14	N/A	English / French / German / Spanish	2 and more dumps from original media [!]	Europe	DC	1.000
832-0045-46	Dreamkey Version 2.0	Bundled with DC	N/A	Dumped from original media	Europe	DC	1.000
832-0046-46	Dreamkey Versão 2.0	Bundled with DC	N/A	Dumped from original media	Portugal	DC	1.003
832-0047-50	Dreamon Volume 15	N/A	English / French / German / Spanish	2 and more dumps from original media [!]	Europe	DC	1.000
832-0051-50	Dreamon Volume 16	N/A	English / French / German / Spanish	2 and more dumps from original media [!]	Europe	DC	1.000
832-0053-50	Dreamkey Version 2.0	Bundled with DC	English / French / German / Italian / Spanish	Dumped from original media	Europe	DC	1.001
832-0054-50	Dreamon Volume 17	N/A	English / French / German / Spanish	2 and more dumps from original media [!]	Europe	DC	1.000
832-0056-50	Dreamon Volume 18	N/A	English / French / German / Spanish	2 and more dumps from original media [!]	Europe	DC	1.000
832-0060-50	Dreamon Volume 19	N/A	English / French / German / Spanish	2 and more dumps from original media [!]	Europe	DC	1.000
832-0062-50	Dreamon Volume 20	N/A	English / French / German / Spanish	2 and more dumps from original media [!]	Europe	DC	1.000
832-0064-50	Dreamon Volume 21	N/A	English / French / German / Spanish	Dumped from original media	Europe	DC	1.000
832-0066-50	Dreamon Volume 22	N/A	English / French / German / Spanish	Dumped from original media	Europe	DC	1.000
832-0068-50	Dreamkey 3.0	N/A	English / French / German / Italian	2 and more dumps from original media [!]	Europe	DC	1.001
832-0069-06	Dreamkey 3.1	N/A	Spanish	Dumped from original media	Spain	DC	1.000
832-0069-46	Dreamkey 3.1	N/A	N/A	Dumped from original media	Portugal	DC	1.000
833-0002-50	Dreamon Volume 1	Bundled with DC	English / French / German / Spanish	2 and more dumps from original media [!]	Europe	DC	1.003
833-0003-05	Dreamkey	Bundled with DC	English	2 and more dumps from original media [!]	Europe	DC	1.008
833-0004-09	Dreamkey	Bundled with DC	French	Dumped from original media	France	DC	1.008
833-0012-50	Dreamon Volume 6	N/A	English / French / German / Spanish	Dumped from original media	Europe	DC	1.000
833-0015-50	Dreamon Volume 8	N/A	English / French / German / Spanish	Dumped from original media	Europe	DC	1.000
833-0018-09	Dreamkey Version 1.5	N/A	French	Dumped from original media	France	DC	1.001
833-0019-50	Dreamon Volume 9	N/A	English / French / German / Spanish	2 and more dumps from original media [!]	Europe	DC	1.000
833-0021-50	Dreamon Collection 2	Bundled with DC	English / French / German / Spanish	2 and more dumps from original media [!]	Europe	DC	1.001
833-0022-50	Dreamon Collection 3	Bundled with Premiere Press Kit	English / French / German / Spanish	Dumped from original media	Europe	DC	1.000
